tweet,sentiment
@Wilson_P535 @Bams44421380 @roelzenar @Nicho_Silalahi Paham Lu tong gue warga kalimantan merasa tersakiti. Ribuan hektar hutan dibabat buat mindahin IKN yang juga menjadi beban hutang yg menjadi tanggungan rakyat Indonesia. Sejak dulu mayoritas warga kalimantan tidak setuju IKN pindah di hutan hujan hutan kesayangan borneo,negative
Salah satu alasan yang gw ga setuju tp disampaikan oleh presiden mengenai alasan mengapa ibu kota harus pindah: Untuk membangun kultur kerja yang lebih baik.  OMG. Masa memperbaiki kultur kerja pindah tempat sih 🤦‍♂️,negative
@geloraco Silakan yg setuju pindah IKN... Gotong royong.,negative
@tubirfess Bukan tp aku ga setuju IKN pindah. Kaliamantan itu udah rusak gara2 tambang batu bara sama kelapa sawit jangan ditambah2in lagi dong bencananya.,negative
DPR = DEWAN PERWAKILAN RAKYAT artinya mewakili rakyat. Ketika Rakyat tidak setuju pemindahan Ibu Kota Baru. Jadi DPR MEWAKILI SIAPA MENYETUJUI PEMINDAHAN IBUKOTA BARU tersebut? Gaji makin besar rakyat makin sulit bencana pengangguran harga mencekik pindah ibukota? KAMI RAKYAT MENOLAK PEMINDAHAN IBU KOTA NEGARA,negative
@TsamaraDKI Lebih penting pindah ibu kota betul apa betul..ha..ha..partai nol koma bikin iklan..udah tau ekonomi bobrokkena wabah si covid psi dukung rencana pindah ibu kotaapa bedanya dengan rencana Prabowo.,negative
#AyoTolakUUIKN   Pemindahan Ibu Kota ditengah karut marut ekonomi?? NO WAY!! Tolak UU IKN,negative
@CNNIndonesia 700 tak setuju IKN pindah? Maaf saya masuk yang 70 juta setuju lho. Karena sy masih merasa waras 😀,positive
#AyoTolakUUIKN   Pemindahan ibu kota negara adalah wujud nyata dari realisasi kepentingan oligarki Tolak UU IKN,negative
TOLAK PEMINDAHAN IBU KOTA BARU  BILA TIDAK MELALUI REFERENDUM....!!! #RezimJualanAset  #RezimJualanAset,negative
To Mr @jokowi   Pak kapan pindah Ibu Kota kalsel atau Kaltim terserah.. saya dukung 11 ribu T persent segera dijalankan programnya. Terserah mau utang kmana aja duitnya. Bawa semua Mentri2 ke Ibu Kota yg baru pak. DKI sudah penuh.  Biar DKI aman nyaman tentram dan mandiri Tx,negative
@detikcom Harus di tolak pindah ibu kota cuma buang2 duit negara padahal masih banyak masalah negara yg harus di benahi dan juga tolak si Ahok penista agama masa mau di jadiin kepala badan otoritas ibu kota bencana akan datang pada negeri ini,negative
@tamrintomagola Akan lebih menyejukkan ditengah keruwetanada baiknya diumumkan pembatalan pindah IKNsetuju Prof.?,negative
@PKSejahtera @Rosihanjohan Kita tolak pemindahan ibukota dan kita tolak undang undang IKN. Bawa ke MK agar dibatalkan,negative
@KelestarianAlam Aku orang jawa timur setuju sekali dgn pemindahan ibu kota.  #ibu kotaNegara #IKN #SemangatNusantara,positive
@musniumar Sy setuju klw ibu kota pindah biar ada pemerataan.,positive
Hanya PKS yg tidak setuju thd RUU IKN. DPR rapat maraton selama 16 jam akhirnya diputus dini hari tadi RUU IKN naik ke Paripurna. Sikap PD gimana? Oposisi kok pilih2 selera sesuai kepentingan? Apa sih gunanya pindah ibu kota bagi rakyat yang makin melarat dengan dana hutang? Kita sebagai rakyat harus melawan pemerintah dengan menolak RUU IKN. TOLAK PEMINDAHAN IBU KOTA NEGARA,negative
@abangbelneg setuju dengan pemindahan IKN,positive
#AyoTolakUUIKN   Proyek pemindahan ibu kota berpotensi menambah beban utang negara. Tolak UU IKN,negative
@KompasTV Setuju. solusinya pindah Ibu Kota..🤣🤣🤣,positive
@cagubnyinyir2 @DjanChoek @buzerman18 @Dumax @YohanesPatty2 @RosaErna @noe_santara @jonahmunda @PakatDayak @Dayak412 Hanya radikalis yg nggak setuju pemindahan ibu kota,positive
@abangbelneg setuju dengan masyarakaat Kaltim mengenai pemindahan IKN,positive
Tolak pindah ibu kota mending dana pindah ibu kota lebih baik dialokasikan untuk mengembalikan aset negara yang terjual.,negative
@m_newsid Setuju sekali. Nampak bahwa pemerintah tak berdikari. Pemindahan ibu kota memakan biaya besar sedangkan rakyat kecil semakin hari semakin miskin.,positive
@YRadianto Sebenarnya saya juga tidak setuju tentang pemindahan IKN ke kalimantan karna tidak ada urgensi untuk hal itu ditambah kita masih bersedia melawan covid Tapi saya lebih tidak setuju dengan perkataan bapak edy mulyadi yang menghina kalimantan dan orang kalimantan,negative
@msaid_didu Tolak terus wacana pemindahan ibu kota baru supaya anggaran dari wan getar bisa cair?,negative
@PakkatDayak @Nicho_Silalahi Saya gak setuju IKN pindah ke Kaltim bikin kotor Balikpapan dan merusak alam aja,negative
Ganyang dan tolak pemindahan ibu kota,negative
@liputan6dotcom Saya akan dukung Capres yang berjanji akan membatalkan rencana pemindahan ibu kota.,negative
@CNNIndonesia Ga punya duit gimana mau setuju. #NegaraBokek tapi ngotot pindah Ibu Kota ngotot infrastruktur. #RezimBebaniRakyat,negative
@oclafoflodad Makanya dulu paling setuju kalau ibu kota di pindah kesana.,positive
@ianapokayan @SBYudhoyono Ibu Kota harus pindah saya 100% setuju supaya pembangunan merata,positive
@WRistiono @susipudjiastuti @jokowi Saya dukung kang Ibu Kota ibu kota pindah ke kalimantan Pandemi Covid 19 ini sudah menggambarkan pentingnya pusat perekonomian dan pusat pemerintahan itu tidak di wilayah yang sama,positive
@kuasrusak @panjiptualang @FRimson @_ogawamizuki @hbibanugrah @sayfudinendo @kemalpalevi Saya dan keluarga bahkan satu kampung tidak pernah merasa dimintai persetujuan pemindahan ibu kota. Pdhal kami rakyat jadi yg setuju itu rakyat mana gitu kan?,negative
@kompascom Tolak!! Suruh jokowi penuhi janjinya. Biaya pemindahan IKN bukan dari APBN.,negative
Banyak hal yang lebih penting dari pindah ibu kota. Kemiskinan tingkat kriminalitas korupsi kesenjangan sosial masih belum terselesaikan. Tolak Pemindahan Ibu Kota,negative
Saya gak habis pikir respons dunia melihat pemerintah Indonesia mau bangun IKN ditengah pandemi yg memperburuk ekonomi dunia. Bukan tdk setuju perihal pemindahan ibu kota negara hanya saja kalau dilaksanakan sekarang waktunya kurang tepat.,negative
Kalau alasan pindah ibukota tidak mendesak tidak matang dan tidak untuk kepentingan rakyat so what for? Tolak UU IKN.,negative
@G336387 @NataliusPigai2 Setuju banget itu ide yg sangat Bagus Tiap 20 tahun pindah Ibu kota negara Bergilir dari Pulau  Jawa Papua  Sulawesi Kalimantan Sumatera balik lagi ke Jawa. biar ngirit yg pindah Istana Presiden dan Kantor Kemetrian aja. jadi 80 tahun lagi tiap pulau punya Istana Negara.,positive
@VIVAcoid Sebagai penduduk asli jakarta sy sangat setuju ibu kota pindah agar disini engga gaduh dan tentram. Semoga iQ 200 sekolam jg ikut karena mereka sangat membutuhkan AIR yg banyak,positive
#AyoTolakUUIKN   Pemindahan ibu kota tidak ada urgensinya sama sekali lalu siapa yang diuntungkan? Tolak UU IKN,negative
@wukir2011 @mkusumawijaya Saya tidak setuju ibukota pindah ke Kalimantan bukan karena suku dan budaya dan penduduk di sana tetapi saya khawatir dengan dampak yang akan ditimbulkannya.. Sebagai mana kita tahu ibu kota sekarang alam dan lingkungannya tidak baik baik saja,negative
@emilsalim2010 Saya setuju pindah ibu kota. Jgn lupa dari dulu jargon Jawa centris sdh sangat membuat kekesalan bagi byk org di luar jawa.,positive
Tokoh masyarakat Kaltim sangat mengapresiasi dan sangat setuju terhadap pemindahan Ibu Kota “Nusantara” ke daerah Kalimantan. #Dukungibu kotaNusantara,positive
@kurawa 2023 Sudah harus pindah!!! Jangan 2024. terlalu mepet waktunya. nanti penerusnya MUNGKIN tidak setuju dan tidak melanjutkan pemindahan ibu kota.,positive
@TeddGus Ya gak setuju karena sudah bertahun tahun bahkan puluhan tahun  membangun kekuatan di jkarta akan menjadi sia² kalo IKN pindah ke KALTIM..,negative
Buat apa bangun dan pindah rumah kalau duitnya hutang riba. Ayo tolak UU IKN,negative
@tempodotco Saya sangat setuju agar ibu kota nggak pindah...kasiah an rakyat utk mkn saja sulit...,negative
#IKNProyekOligarki   Masalah negeri ini tidak selesai dengan pindahnya ibu kota masalah negri ini akan selesai ketika syariah islam dilaksanakan totalitas.,negative
@taofan_pratama @Dar_Sons9021 @susipudjiastuti @ridwankamil @jokowi @ikn_id @KemenPU Bukan soal dukung-tolak...jawa-non jawa.... ini soal aturan.. kalau didasari dengan aturan dan studi yg benar kenapa harus ditolak ..? Urgensiny pindah disaat pandemi apa?,negative
@Yulia_NS79 Orang yang menyuarkan tidak setuju IBU KOTA pindah ke kalimantan sesungguhnya dia itu takut ladang usahanya hilang. memang sudah saatnya IBU KOTA harus pindah ke Kalimantan Jayalah IBU KOTA baruku NUSANTARA..!! KALIMANTAN TIMUR,positive
@RicKY_KCh Kalo menurutku daripada pindah ibu kota ya mending nambah ibu mertua..😂😂😂  Jokowi pasti manggut setuju😂,negative
#IKNProyekOligarki   Proyek Para Kapitalis Merapok rakyat  @mouslim_dNews Tolak Pemindahan Ibu Kota,negative
#AyoTolakUUIKN   Keuangan negara lagi sulit malah pengen pindah pindah ibu kota piye toh Iki? Tolak UU IKN,negative
@eliyahu41752743 Coba deh dipikir lagi apa sih urgensinya pindah ibu kota. Tolak UU IKN,negative
@H1m4_W4r1 @indra087 @Uki23 Tahu sama tahu lah kalau pemindahan IKN ini hanya utk kepentingan bisnis terutama properti. Kekeh meskipun gak ada duit.,negative
@DonAdam68 @sandalista1789 gua setuju sama pak ahok pindah ibu kota cuma lari dari masalah :D,negative
Belum slesai membebani rakyat mau pindah ibu kota? Tolak Pemindahan Ibu Kota,negative
@VeraFebyanthyID @PDemokrat Kenapa nggak di TOLAK saja ibu. Lagian apa sih Urgensinya Pemindahan IKN itu..??? Harusnya TOLAK Pemindahan IKN,negative
@luqmantaufiq_ @prastow Ya masalahnya cuma orang2 kayak elu kok.. yg gak setuju pemindahan IKN dgn alasan duit ngutang yg setuju lbh banyak... Tenang aja lanjut terus..,positive
@maspiyuaja @msaid_didu Saya juga tidak setuju dengan rencana pemindahan IKN baru. Selain masalah timing ada masalah pembiayaan yang sesungguhnya membuat proyek pemindahan IKN itu TIDAK FEASIBLE. Rencana menjual aset negara di Jakarta utk membiayai pemindahan itu mnrt hemat saya adalah blunder.,negative
@akang_hero Dalam kondisi bagus saya setuju ibu kota pindah. Org papua lebih murah ke ibu kota baru drpd ke jakarta,positive
@OposisiCerdas Jelaskan IKN itumimpinyaambisinyaobsesinyaegoisnya Pak Joko Widodo Presidenku itu kan?biar dikenangditulis sejarah kelakduh Pak! tolong jgn Bpk korbankan tanah air tumpah darah inihanya utk mewujudkan keinginan pribadi Bpkpindah ibu kotakita setujutp tdk skrBOLEHKAN?,negative
@QaillaAsyiqah Coba pindah gurun kalaw engga setuju dengan ikn,positive
Saya sangat setuju dengan pemerataan pembangunan untuk mengurangi kesenjangan tetapi kontek pemindahan Ibu Kota Negara dari Jakarta ke PPU bukanya semakin menjauhkan pelayananan terhadap sebagaian besar masyarakat sehingga berkonsekwensi meningkatnya ongkos pelayanan birokrasi.,positive
@mas__piyuuu @jokowi Setuju banget. Pindah ibu kota emang utk siapa sih?,positive
Gini ya bapak ibu yang duduk dengan tampilan rapi please lah hutang negara masih banyak segala pindahin ibu kota dengan tampilan wow Indonesia emang. Tolak pemindahan ibu kota,negative
Disaat perekonomian semakin memburuk bisa bisanya proyek ini mau dibebankan pake APBN. Kit harus menolak Pemindahan Ibu Kota,negative
@O1EDWARDL @SNAEUNint # ga ada yang impossible ed. Perubahan perlu proses yang memang tidak sebentar. Adanya akan hal itu kita semogakan akan bisa berbenah lebih baik. Semoga adanya si ibu kota disana jadi awal suatu proses yg baik. Meski awalnya gua kaga setuju ibu kota pindah.,positive
@MardaniAliSera @FPKSDPRRI Saya dukung PKS tolak pemindahan ibukota dan tolak UU IKN #TolakIbukotaBaru,negative
Buat apa bangun dan pindah rumah kalau duitnya hutang riba. Ayo tolak Ibu Kota Baru!,negative
@JazuliJuwaini PKS mau setuju mau nggak pindah ibu kota jalan terus..,positive
@Abdulka10418666 @geloraco Kalo sy setuju 3 periode supaya pemindahan ibu kota baru bisa terwujud kalo anda gak setuju terserah nanti rakyat yg menentukan,positive
@ncepxxxx Boro2 flyover. Ini kota baru itu yg katanya ibu kota provinsi lampung dipindah. Eh setelah sekian tahun mangkrak. Makanya mohon maaf ide pemindahan ibu kota kurang setuju saya. Udah ada contohnya,negative
@ardhxtt Setuju sih. Pulau Jawa sudah terlalu padat penduduknya pusat bisnis dan pemerintahan (politik) juga di Jakarta. Apalagi muncul stigma bahwa Indonesia ini terlalu Jakarta-sentris. Sudah saatnya ibu kota negara pindah bisa lah jadi contoh Malaysia (Kuala Lumpur ibu kota bisnis*,positive
@hincapandjaitan Tidak setuju dengan UU IKN yg baru. tidak setuju pindah karena kita tidak punya duit,negative
Saya sangat setuju ibu kota baru pindah dijakarta biar nggak repot. Enak malahan lebih tenang urusannya,positive
@Rajadero1 @DSXL3 Setuju. .  Biar jelas niatan awal pindah IKN adalah Pemerataan pembangunan dan kepemimpinan. Bukan cuma Pindah tempat Berkuasa dan bagi2 kekuasaan oligarki.,positive
@dhit_ri setuju..salah satu solusi jg untuk memecah kemacetan di jakartakarena gw yakin ibu kota pindah pun macet bakalan tetep exist,positive
#IKNProyekOligarki   Bukan hanya rakyat yang rugi namun habitat di sekitar lingkungan akan mengakibatkan kepunahan Tolak Pemindahan Ibu Kota,negative
@eliyahu41752743 Rakyat makin buntung oligarki makin untung Tolak Pemindahan Ibu Kota,negative
@AliM30150814 @jokowi Teruskan pak pemindahan ibu kota. Saya setuju banget,positive
@marlina_idha Tetap dukung pindah ibu kota... #hutanjadisawit,positive
Bohong jika dikatakan IKN adalah keinginan seluruh rakyat. Rakyat yang mana??? Bukan saya tentunya. Yang pasti IKN adalah proyek yang direncanakan oleh para oligarki.... Tolak Pemindahan Ibu Kota,negative
@musniumar Setuju dgn mu prof dlm hal ini....jd tepat juga ibu kota harus pindah dari jakarta ke kalimantan.👌👌👌,positive
Dengan alasan yang tidak realistis maka wajib bagi saya dan rakyat Indonesia untuk menolak pemindahan Ibu Kota  #AyoTolakUUIKN Tolak UU IKN,negative
rata rata yang gak setuju sm pemindahan ibu kota sama pembangunan wilayah timur indonesia itu punya argumen takut lingkungan rusak hmm trs mau nya gmn gt lho  cari jalan keluar lah plis bukan nya malah menentang desentralisasi itu perlu kalo mau indo maju !,positive
@geloraco Yang harusnya kita tolak tuh Pemindahan IKN ... ada hal lain yang lebih Urgent !!!,negative
@akang_hero Saya setuju bgt pindah ibu kotatpi jgn jauh2 dongbiaya nya kan byk...di pulau seribu aja ibu kota baru kitakan gak jauh tubiaya nya juga dikit...pejabat tinggal naik ski aja ke ktr,positive
@hnurwahid @FPKSDPRRI Kami rakyat tolak pemindahan IKN....... prioritas : rakyat masih banyak yang miskin dan pengangguran,negative
@imriatiarna @ZainalA27947946 @do_ra_dong Saya sebagai orang kalimantan timur tidak setuju dengan pemindahan ibu kota.,negative
@muzakir100 Memang harus ibu kota baru cepat pindah sya sangat setuju itu biar org kaya lo tmbah stress🤣🤣🤣,positive
@musniumar Saya setuju sekali  ibu kota dgn segera pindah ke kaltim jd tahun 2020 hrs dgn segara bangun infrastruktur dasarjgn hanya wacana terus menerus seprti para ahli salah satu nya prof ini.,positive
Untuk apa pindah ibu kota? Gak ada urgensinya sama sekali.. daripada habisin anggaran buat pindahin ibukota mending bagin anggarannya ke rakyat secara merata.. rakyat banyak yang kelaparan..  Tolak Pemindahan Ibu Kota,negative
Pemindahan ibu kota negara itu bukan soal ada duit atau tidak ada duit. Tapi soal kehendak bangsa mau pindah ibu kota atau tidak?  Gue sendiri sih setuju ibu kota pindah. Manfaatnya lebih banyak.,positive
@AliBej0 Dukung pemindahan IKN Baru 👌,positive
@KompasTV Lanjutkan pak jangan ambil pusing mereka yg nyinyir nanti kl Ibu kota baru sdh jadi dan pusat pemerintahan pindah dijamin kl mereka yg ga setuju bakalan ngebet pengen kesana,positive
Banyak pengusaha rakus dengan kebijakan oligarki  #IKNProyekOligarki Tolak Pemindahan Ibu Kota,negative
@blogdokter @aksioma02 Dimana mana kalau tidak hidup sehat ya sakit. Bisa gawat. Yang kita tolak apa sangat penting pindah ibu kota dibanding fokus untuk kesejahteraan rakyat????. Pindah untuk kepentingan investor untuk persiapan pemilu atau menambah uang tabungan kalian hai para oknum-oknum??,negative
@ridwankamil bukan tidak setuju pindah ibu kota tapi liat situasi kondisi. negara lagi banyak hutang malah aneh aneh bikin IKN pake APBN. seperti pemindahan IKN memaksa harus di periode ini. ada udang di balik batu?,negative
@Bams_1eng @Paulus_willy UU IKN itu ilegal krena instan dipaksakn oleh jokowi dn parlemen yg setuju tanpa persetujuan rakyatkecuali cebong buzzer Rp antek oligarki dan boneka kacung cukong cina komunis. Karena cebong buzzer dukung rencana Pindah IKN oleh PKI 1955,negative
